name,relativeURL,category,stage,description,imageURL,isFeatured
BizFriendly,/products/bizfriendly/,Economic Development,Local Beta,BizFriendly helps small business owners learn and share digital literacy skills to grow their businesses.,bizfriendly.jpg,TRUE
Food Trucks of Downtown Las Vegas,/governments/lasvegas/#product,Economic Development,Local Beta,Food Trucks of Downtown Las Vegas shows which food trucks will be at a given location on a given day.,foodtruck.png,TRUE
Infrasructure Map,/governments/atlanta/#product,Economic Development,Local Beta,This interactive map tracks how Atlanta is spending money on a key capital infrastructure project and lets residents discuss spending priorities.,infrastructure-map.png,FALSE
Primer Peso,/focus/economic-development/primerpeso/,Economic Development,Local Beta,"Primer Perso helps entrepreneurs discover what benefits and incentives are available to them when starting a business in Puerto Rico.
",primer-peso.png,FALSE
Discover BPS,/products/discover-bps/,Education,Local Live,"DiscoverBPS combines eligibility criteria, school data, and advanced mapping tools to help parents easily find the right school for their child.",discover-bps.jpg,FALSE
Golden Ticket,/governments/rhodeisland/#product,Education,Local Beta,"Golden Ticket is a platform for parents to sign their children up for program lottery while performing the selection process, automating a time-consuming manual process for administrators. ",golden-ticket.png,FALSE
Ticket to Ride,/governments/rhodeisland/#product,Education,Local Beta,"Ticket to RIDE (Rhode Island Department of Education) brings the paper-based student registration process online, making it simpler and friendlier for parents and school administrators.",ticket-to-ride.png,FALSE
Best Nest,/governments/chattanooga/#product,Health,Alpha,"Best Nest helps renters make more informed housing choices. It brings together data from a variety of sources -- including code violations, evictions, energy, transit, and parcel data -- to hep renters find fair, safe, and affordable housing.",placeholder.png,FALSE
Balance,/products/balance/,Health,Local Beta,"Balance allows a recipient of food benefits to check the balance of their EBT card via SMS.
",balance.png,FALSE
Clean,/products/clean/,Health,Local Beta,Clean helps users fill out an application for Calfresh (Food Stamps in California).,clean.png,FALSE
Connect,/products/connect/,Health,Local Beta,Connect waits on hold so you don't have to and calls you back when a human picks up the phone. ,connect.png,FALSE
Prompt.ly,/products/promptly/,Health,Local Beta,Prompt.ly is a text messaging system that helps social services workers communicate with benefits recipients about important information like deadlines and required paperwork.,promptly.jpg,TRUE
SMS Connect,/governments/sanmateocounty/#product,Health,Local Beta,SMS Connect helps users find community services in San Mateo County.,placeholder.png,FALSE
Click that Hood,/products/click-that-hood/,Maps & Transit,Live,"Click that Hood is a game to test your understanding of neighborhood geography. It is quick and easy to create a version for a new city or other location, making it an ideal first open source project.",click-that-hood.jpg,FALSE
Streetmix,/products/streetmix/,Maps & Transit,Live,"Streetmix is an interactive tool that lets anyone create a visual representation of their ideal street, based on methods already used by city planners. ",streetmix.jpg,FALSE
Public Art App,/products/public-art-finder/,Maps & Transit,Local Beta,Public Art App enables crowd-sourced mapping of public art installations in a friendly mobile interface.,public-art-finder.jpg,FALSE
Text My bus ,/products/text-my-bus/,Maps & Transit,Local Beta,Text My Bus lets residents find out the arrival time of the next bus via SMS by texting the nearest bus stop number.,text-my-bus.jpg,FALSE
Where's My School Bus?,/products/wheres-my-school-bus/,Maps & Transit,Local Beta,Where's My School Bus? is a location information app allowing parents to track their child’s bus in real time -- reducing the time children spend unsupervised and in harms way.,wheres-my-school-bus.jpg,FALSE
NYC Criminal Case Search,/governments/newyork/#product,Safety & Justice,Alpha,Criminal Case Search lets municipal court staff identify candidates eligible for alternative to incarceration (ATI) programs from their mobile phone. ,criminal-case-search.png,FALSE
Court Bot,/focus/safety-justice/courtbot,Safety & Justice,Local Beta,Court Bot gives residents easy-to-understand information about resolving citations and timely reminders about upcoming court dates.,placeholder.png,FALSE
Jail Population Dashboard,jail-population-management-dashboard,Safety & Justice,Local Beta,"The Jail Population Management Dashboard gives judges, corrections staff, and police a real-time, in-depth view of the local metro jail system, for real time data driven decision making.",jail-population-management-dashboard.png,FALSE
Lunch Roulette,#,Other,Alpha,Lunch Roulette is a simple web-based app to randomly pair people within your organization for a lunch date -- making it easier to meet new people and be exposed to new ideas at work.,lunch-roulette.png,FALSE
Early Oakland,/governments/oakland/#product,Other,Brigade,Early Oakland helps residents easily find childcare and preschool options for their families using open public data about programs from a variety of sources. ,early-oakland.png,FALSE
Denver Street Sweeping,/governments/denver/#product,Other,Local Beta,Denver Street Sweeping lets residents find street sweeping information for any address in Denver.,denver-street-sweeping.png,FALSE
Change my Record,/focus/safety-justice/changemyrecord,Safety & Justice,Alpha,"Change My Record helps Californians with criminal records get a fresh start. In California, Prop 47 provides individuals with past felony convictions for low-level crimes, the opportunity to request a record change with the court.",placeholder.png,FALSE
AddressIQ,/focus/health/addressiq,Health,Alpha,AddressIQ is a web application to reduce the demand on emergency services by analyzing city data to help identify addresses with a high number of 911 calls.,placeholder.png,FALSE
QuickScreen,/products/quickscreen/,Health,Alpha,QuickScreen is an eligibility screening tool that determines whether a patient is eligible for free or discounted health care in the Richmond area.,placeholder.png,FALSE
